
2016/4/6,600755,13:44
2016/4/6,002404,14:34
2016/4/6,000905,13:45
2016/4/6,600785,13:52
2016/4/6,600525,10:21
2016/4/6,600682,10:42
2016/4/6,300196,14:10
2016/4/6,300276,10:29
2016/4/6,600897,13:46
2016/4/6,002453,14:08
2016/4/6,601116,14:35
2016/4/6,300293,10:30
2016/4/6,002656,14:53
2016/4/6,002656,13:30
2016/4/6,002732,13:57
2016/4/6,002011,14:02
2016/4/6,300149,13:52
2016/4/6,603117,13:11
2016/4/6,603117,14:37
2016/4/6,002228,11:25
2016/4/6,002040,14:48
2016/4/6,000622,11:28
2016/4/6,000150,13:35
2016/4/6,002332,13:36
2016/4/6,002560,13:29
2016/4/6,600664,14:32
2016/4/6,600667,14:08
2016/4/6,000592,13:46
2016/4/6,300447,14:19
2016/4/6,600586,13:00
2016/4/6,300251,11:15
2016/4/6,600821,11:05
2016/4/6,000681,13:22
2016/4/6,300006,11:08
2016/4/6,300006,13:31
2016/4/6,600815,13:49
2016/4/6,300169,13:41
2016/4/6,300412,11:08
2016/4/6,300081,13:20
2016/4/6,600594,10:44
2016/4/6,000158,13:32
2016/4/6,000606,11:08
2016/4/6,000606,14:18
2016/4/6,601199,13:00
2016/4/6,300083,11:03
2016/4/6,601886,11:15
2016/4/6,600173,11:19
2016/4/6,600173,14:10
2016/4/6,002514,11:28
2016/4/6,600800,10:58
2016/4/6,600800,14:25
2016/4/6,600410,14:01
2016/4/6,002193,13:57
2016/4/6,601567,13:29
2016/4/6,000020,14:41
2016/4/6,600704,10:46
2016/4/6,600668,13:54
2016/4/6,002639,11:23
2016/4/6,000410,10:30
2016/4/6,002333,14:32
2016/4/6,300147,14:52
2016/4/6,600252,11:27
2016/4/6,000018,11:10
2016/4/6,000816,10:41
2016/4/6,000816,11:26
2016/4/6,002706,13:01
2016/4/6,600855,14:08
2016/4/6,000045,11:10
2016/4/6,002654,10:42
2016/4/6,600165,13:28
2016/4/6,600802,10:41
2016/4/6,600466,13:51
2016/4/6,603998,11:27
2016/4/6,000838,10:50
2016/4/6,300278,10:31
