2016/3/25,600359,13:29,,
2016/3/25,002761,13:25,,
2016/3/25,600650,14:34,,
2016/3/25,002351,14:44,,
2016/3/25,600137,14:23,,
2016/3/25,600822,13:24,,
2016/3/25,600393,13:03,,
2016/3/25,600754,14:34,,
2016/3/25,600212,14:05,,
2016/3/25,600611,14:32,,
2016/3/25,600662,14:33,,
2016/3/25,002512,13:32,,
2016/3/25,002413,14:31,,
2016/3/25,002576,14:38,,
2016/3/25,600503,13:24,,
2016/3/25,600965,13:37,,
2016/3/25,600129,10:45,,
2016/3/25,600724,13:19,,
2016/3/25,600385,14:39,,
2016/3/25,300337,13:12,,
2016/3/25,000802,11:10,,
2016/3/25,000560,14:36,,
2016/3/25,603601,13:24,,
2016/3/25,000819,14:40,,
2016/3/25,300208,13:10,,
2016/3/25,300185,14:25,,
2016/3/25,002166,14:02,,
2016/3/25,002198,10:34,,
2016/3/25,600200,10:36,,
2016/3/25,600682,14:36,,
2016/3/25,002305,14:24,,
2016/3/25,000985,13:14,,
2016/3/25,000595,13:01,,
2016/3/25,000803,13:03,,
2016/3/25,002162,14:33,,
2016/3/25,600838,14:33,,
2016/3/25,300211,13:08,,
2016/3/25,000536,13:00,,
2016/3/25,600834,14:34,,
2016/3/25,002285,13:18,,
2016/3/25,600146,14:35,,
2016/3/25,600827,14:34,,
2016/3/25,300069,10:44,,
2016/3/25,300035,14:05,,
2016/3/25,002150,11:19,,
2016/3/25,600135,14:31,,
2016/3/25,600137,14:23,,
2016/3/25,600139,14:34,,
2016/3/28,600604,14:40,,
2016/3/28,002388,13:38,,
2016/3/28,002059,11:26,,
2016/3/28,600771,13:46,,
2016/3/28,002760,10:56,,
2016/3/28,000516,11:07,,
2016/3/28,002135,11:02,####,
2016/3/28,300115,10:41,,
2016/3/28,002719,13:37,,
2016/3/28,603998,14:20,,
2016/3/28,002574,11:16,,
2016/3/28,002047,13:01,,
2016/3/28,600227,13:49,,
2016/3/28,300241,13:01,,
2016/3/29,600599,13:32,2016/3/29,
2016/3/29,600618,14:48,,
2016/3/23,000407,13:16,,
2016/3/23,000572,10:49,,
2016/3/23,000637,13:10,,
2016/3/23,000707,13:36,,
2016/3/23,000976,14:09,,
2016/3/23,002016,14:19,,
2016/3/23,002174,14:07,,
2016/3/23,002232,14:18,,
2016/3/23,002280,13:55,,
2016/3/23,002291,13:10,,
2016/3/23,002292,11:03,,
2016/3/23,002463,10:38,,
2016/3/30,600231,11:29,,
2016/3/30,600711,13:27,,
2016/3/30,600249,13:00,,
2016/3/30,300173,10:31,,
2016/3/30,300231,10:30,,
2016/3/30,300068,10:46,,
2016/3/30,300438,13:00,,
2016/3/30,603456,11:27,,
2016/3/30,002279,11:08,,
2016/3/30,300277,11:20,,
2016/3/30,002452,11:29,,
2016/3/30,300083,10:57,,
2016/3/30,300035,13:25,,
2016/3/30,002579,11:26,,
2016/3/30,002362,14:03,,
2016/3/30,600160,14:00,,
2016/3/30,300120,13:00,,
2016/3/30,002413,11:27,,
2016/3/30,300275,11:21,,
2016/3/30,300003,13:38,,
2016/3/30,300443,11:07,,
2016/3/30,300467,13:00,,
2016/3/30,000697,11:30,,
2016/3/30,300476,11:28,,
2016/3/30,603688,13:28,,
2016/3/30,600774,13:00,,
2016/3/30,002598,10:35,,
2016/3/30,002622,11:24,,
2016/3/30,300312,11:28,,
2016/3/30,300245,11:29,,
2016/3/30,300145,13:04,,
2016/3/30,603669,10:52,,
2016/3/30,300289,11:28,,
2016/3/30,300040,11:28,,
2016/3/30,300246,11:23,,
2016/3/30,002411,13:04,,
2016/3/30,600981,13:00,,
2016/3/31,601608,11:02,,
2016/3/31,002149,13:57,,
2016/3/31,600018,11:16,,
2016/3/31,603011,13:00,,
2016/3/31,000779,13:59,,
2016/3/31,002577,11:25,,
2016/3/31,002391,14:08,,
2016/4/5,002276,13:00,,
2016/4/5,002135,11:00,,
2016/4/5,601918,10:47,,
2016/4/5,601238,14:34,,
2016/4/6,600785,13:51,,
2016/4/6,600452,13:00,,
2016/4/6,600897,13:45,,
2016/4/6,600664,14:30,,
2016/4/6,600667,14:08,,
2016/4/6,000592,13:45,,
2016/4/6,000681,13:21,,
2016/4/6,600815,13:49,,
2016/4/6,300169,13:41,,
2016/4/6,000158,13:31,,
2016/4/6,600252,11:27,,
